census_tract,Surge_threshold,alpha_d,alpha_a,alpha_p,alpha_r,mew_a,mew_p,U_rate
36071013700,2.291880407,24.99671645,0.001419265,1.010659821,0.001004359,0.076659122,0.001004712,0.010116789
36071013800,2.234297001,24.99904918,24.99996657,1.618461516,0.001630081,0.082466514,0.299996792,0.015293248
36079010600,1.664939152,24.99989132,24.99907728,0.001076708,0.002482393,0.079621733,0.014669855,0.010074743
36079010700,1.969566956,24.61687445,0.001156965,4.997659065,0.048621214,0.077313693,0.084458765,0.010064126
36081091601,1.581993105,5.550913562,5.534557253,0.001005602,0.999944696,0.001010526,0.282273711,2.386764984
36083040800,1.763032887,6.78052028,0.003922718,4.513813182,0.002908787,0.026607235,0.050766138,0.016142302
36083051600,1.94708483,24.99919343,3.143378907,4.937228091,0.006319038,0.098718895,0.299967502,0.010015568
36083052301,2.452150687,24.9997445,0.003868669,3.12612037,0.001053412,0.107807879,0.001002594,0.010015969
36083052404,2.522991802,24.99552545,5.361857762,4.827223578,0.005947202,0.126996612,0.003460186,0.010136504
36083052501,1.762560671,24.99807968,3.669152171,0.001011823,0.001026531,0.1075782,0.003238758,0.010093438
36085009700,1.866970474,24.77408606,18.87946516,0.001371954,0.011490427,0.065212426,0.138838562,0.041664828
36085011201,2.083893303,20.09870646,3.815503473,0.004855743,0.996169036,0.050071768,0.036478338,1.250870525
36085011202,2.047920568,16.26996993,3.615665592,0.001301788,0.999932987,0.001000867,0.299982445,1.911087741
36085012804,2.111586991,3.056629638,3.016585733,4.570049038,0.993083998,0.003596988,0.046996093,0.011998456
36085012805,1.480973241,7.558925914,24.99704122,0.001812816,0.173979088,0.133762939,0.1424243,2.998421722
36085015603,2.074036382,4.774584941,3.121591729,4.912273876,0.376304065,0.010629636,0.047823003,0.722527008
36085017600,1.824542195,12.93549166,5.506669596,0.001330199,0.046764907,0.0398776,0.080628767,0.10166871
36085019800,1.721050211,14.72764601,24.99886657,4.99589547,0.004858928,0.044094893,0.033122561,0.050516247
36085020801,2.848837149,24.99961662,24.99995295,1.26446672,0.001125319,0.082393414,0.001006415,0.010575645
36085022300,1.886488715,24.99980836,21.18355008,1.341182083,0.011523326,0.091975071,0.010983766,0.01
36085022600,1.858637143,24.32963089,24.998846,4.999925417,0.002648942,0.0730969,0.006493361,0.012148291
36085024401,2.063215086,24.99720543,24.99976772,0.001,0.001004917,0.05720537,0.001001272,0.027598555
36085024402,2.066279425,10.75082045,8.65561851,1.798278423,0.091453501,0.029568917,0.057998641,2.999454007
36085024800,2.0325148,24.98757278,12.79128497,0.001398356,0.01477126,0.080640862,0.20241041,0.010110353
36085029102,2.093034581,16.64155283,10.12814568,0.001986672,0.044610787,0.054451168,0.076606125,0.033637658
36087010101,1.626939055,24.99431981,24.99992979,0.001064218,0.001009008,0.075580091,0.001015825,0.010232813
36087010200,2.091139994,19.61727784,3.719057182,4.797886301,0.053478721,0.060923713,0.080630202,0.010104556
36087010602,1.757028874,24.99933562,0.219808386,0.001072846,0.117052658,0.075141673,0.032251735,0.010035186
36087010902,1.889245378,24.99858477,0.003790145,2.246456073,0.001057111,0.074019466,0.01177797,0.010033201
36087013100,1.35794909,24.99970482,7.214335025,0.007814161,0.009635055,0.108073831,0.083555108,0.010174701
36087013300,1.835392511,22.63816791,13.01075248,0.00175867,0.05941075,0.055037978,0.108446621,0.22484898
36087013402,1.365091084,24.37287608,13.11265014,0.001082374,0.013661848,0.096341906,0.029302686,0.015600487
36111950100,1.684277541,24.99958194,7.513877532,0.001797383,0.010384551,0.085731844,0.02902303,0.01
